Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-06 00:00:00+08:00,0.170000,0.170000,0.170000,0.170000,1000,0.000000,0.000000
2023-10-09 00:00:00+08:00,0.170000,0.170000,0.170000,0.170000,0,0.000000,0.000000
2023-10-10 00:00:00+08:00,0.170000,0.170000,0.170000,0.170000,0,0.000000,0.000000
2023-10-11 00:00:00+08:00,0.170000,0.170000,0.170000,0.170000,0,0.000000,0.000000
2023-10-12 00:00:00+08:00,0.170000,0.170000,0.170000,0.170000,0,0.000000,0.000000
2023-10-13 00:00:00+08:00,0.170000,0.170000,0.170000,0.170000,0,0.000000,0.000000
2023-10-16 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,300,0.000000,0.000000
2023-10-17 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,0,0.000000,0.000000
2023-10-18 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,0,0.000000,0.000000
2023-10-19 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,0,0.000000,0.000000
2023-10-20 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,0,0.000000,0.000000
2023-10-23 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,0,0.000000,0.000000
2023-10-24 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,0,0.000000,0.000000
2023-10-25 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,0,0.000000,0.000000
2023-10-26 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,0,0.000000,0.000000
2023-10-27 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,0,0.000000,0.000000
2023-10-30 00:00:00+08:00,0.200000,0.200000,0.198000,0.198000,200,0.000000,0.000000
2023-10-31 00:00:00+08:00,0.193000,0.193000,0.193000,0.193000,900,0.000000,0.000000
2023-11-01 00:00:00+08:00,0.190000,0.190000,0.185000,0.185000,10300,0.000000,0.000000
2023-11-02 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,700,0.000000,0.000000
2023-11-03 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-06 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,1200,0.000000,0.000000
2023-11-07 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-08 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,1100,0.000000,0.000000
2023-11-09 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-10 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-14 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-15 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-16 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-17 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-20 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-21 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-22 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,21000,0.000000,0.000000
2023-11-23 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-24 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-27 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-28 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-29 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-11-30 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-01 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-04 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-05 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-06 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-07 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-08 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-11 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-12 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,100,0.000000,0.000000
2023-12-13 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-14 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-15 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-18 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-19 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-20 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-21 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-22 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-26 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-27 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-28 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2023-12-29 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,100,0.000000,0.000000
2024-01-02 00:00:00+08:00,0.185000,0.185000,0.185000,0.185000,0,0.000000,0.000000
2024-01-03 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,300,0.000000,0.000000
2024-01-04 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-05 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-08 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-09 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-10 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-11 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-12 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-15 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-16 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,400,0.000000,0.000000
2024-01-17 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,400,0.000000,0.000000
2024-01-18 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-19 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,1000,0.000000,0.000000
2024-01-22 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-23 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-24 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-25 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-26 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-29 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-30 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-01-31 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-01 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-02 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-05 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-06 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-07 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-08 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-09 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-13 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-14 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-15 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-16 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-19 00:00:00+08:00,0.183000,0.183000,0.183000,0.183000,0,0.000000,0.000000
2024-02-20 00:00:00+08:00,0.140000,0.140000,0.140000,0.140000,3600,0.000000,0.000000
2024-02-21 00:00:00+08:00,0.140000,0.140000,0.130000,0.130000,1800,0.000000,0.000000
2024-02-22 00:00:00+08:00,0.130000,0.130000,0.130000,0.130000,0,0.000000,0.000000
2024-02-23 00:00:00+08:00,0.110000,0.110000,0.100000,0.100000,2700,0.000000,0.000000
2024-02-26 00:00:00+08:00,0.100000,0.100000,0.100000,0.100000,0,0.000000,0.000000
2024-02-27 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,1000,0.000000,0.000000
2024-02-28 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-02-29 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-01 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,1000,0.000000,0.000000
2024-03-04 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-05 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-06 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-07 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-08 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-11 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-12 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-13 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-14 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
2024-03-15 00:00:00+08:00,0.101000,0.101000,0.101000,0.101000,0,0.000000,0.000000
