Date,Open,High,Low,Close,Adj Close,Volume
2005-05-10,0.220000,0.220000,0.220000,0.220000,0.105858,0
2005-05-11,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-05-12,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-05-13,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-05-16,0.200000,0.200000,0.200000,0.200000,0.096235,0
2005-05-17,0.200000,0.200000,0.200000,0.200000,0.096235,0
2005-05-18,0.180000,0.180000,0.180000,0.180000,0.086611,0
2005-05-19,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-05-20,0.160000,0.160000,0.160000,0.160000,0.076988,0
2005-05-24,0.160000,0.160000,0.160000,0.160000,0.076988,0
2005-05-25,0.200000,0.200000,0.200000,0.200000,0.096235,0
2005-05-26,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-05-27,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-05-30,0.220000,0.220000,0.220000,0.220000,0.105858,0
2005-05-31,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-06-01,0.200000,0.200000,0.200000,0.200000,0.096235,0
2005-06-02,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-06-03,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-06-06,0.240000,0.240000,0.240000,0.240000,0.115482,0
2005-06-07,0.140000,0.140000,0.140000,0.140000,0.067364,1500
2005-06-08,0.200000,0.200000,0.200000,0.200000,0.096235,0
2005-06-09,0.200000,0.200000,0.200000,0.200000,0.096235,0
2005-06-10,0.200000,0.200000,0.200000,0.200000,0.096235,0
2005-06-13,0.140000,0.140000,0.140000,0.140000,0.067364,2500
2005-06-14,0.180000,0.180000,0.180000,0.180000,0.086611,0
2005-06-15,0.180000,0.180000,0.180000,0.180000,0.086611,0
2005-06-16,0.160000,0.160000,0.160000,0.160000,0.076988,0
2005-06-17,0.160000,0.160000,0.160000,0.160000,0.076988,4250
2005-06-20,0.240000,0.240000,0.100000,0.100000,0.048117,0
2005-06-21,0.240000,0.240000,0.120000,0.120000,0.057741,0
2005-06-22,0.120000,0.120000,0.120000,0.120000,0.057741,1000
2005-06-23,0.200000,0.200000,0.080000,0.080000,0.038494,0
2005-06-24,0.220000,0.220000,0.100000,0.100000,0.048117,0
2005-06-27,0.240000,0.240000,0.100000,0.100000,0.048117,0
2005-06-28,0.220000,0.220000,0.100000,0.100000,0.048117,0
2005-06-29,0.240000,0.240000,0.080000,0.080000,0.038494,0
2005-06-30,0.220000,0.220000,0.100000,0.100000,0.048117,0
2005-07-01,0.220000,0.220000,0.100000,0.100000,0.048117,0
2005-07-04,0.100000,0.100000,0.100000,0.100000,0.048117,0
2005-07-05,0.240000,0.240000,0.100000,0.100000,0.048117,0
2005-07-06,0.100000,0.100000,0.100000,0.100000,0.048117,250
2005-07-07,0.220000,0.220000,0.100000,0.100000,0.048117,0
2005-07-08,0.220000,0.220000,0.100000,0.100000,0.048117,0
2005-07-11,0.220000,0.220000,0.100000,0.100000,0.048117,0
2005-07-12,0.100000,0.100000,0.080000,0.080000,0.038494,15250
2005-07-13,0.080000,0.080000,0.080000,0.080000,0.038494,500
2005-07-14,0.080000,0.080000,0.080000,0.080000,0.038494,5000
2005-07-15,0.120000,0.160000,0.120000,0.160000,0.076988,18750
2005-07-18,0.180000,0.180000,0.180000,0.180000,0.086611,8250
2005-07-19,0.200000,0.200000,0.140000,0.200000,0.096235,12000
2005-07-20,0.140000,0.140000,0.140000,0.140000,0.067364,3500
2005-07-21,0.140000,0.140000,0.140000,0.140000,0.067364,250
2005-07-22,0.220000,0.220000,0.120000,0.120000,0.057741,0
2005-07-25,0.220000,0.220000,0.120000,0.120000,0.057741,0
2005-07-26,0.140000,0.140000,0.140000,0.140000,0.067364,2750
2005-07-27,0.140000,0.140000,0.140000,0.140000,0.067364,0
2005-07-28,0.240000,0.240000,0.140000,0.140000,0.067364,0
2005-07-29,0.480000,0.480000,0.120000,0.120000,0.057741,0
2005-08-01,0.140000,0.240000,0.140000,0.240000,0.115482,7000
2005-08-02,0.140000,0.140000,0.140000,0.140000,0.067364,5000
2005-08-03,0.200000,0.200000,0.120000,0.120000,0.057741,0
2005-08-04,0.240000,0.240000,0.120000,0.120000,0.057741,0
2005-08-05,0.260000,0.260000,0.120000,0.120000,0.057741,0
2005-08-08,0.140000,0.140000,0.140000,0.140000,0.067364,2750
2005-08-10,0.200000,0.200000,0.120000,0.120000,0.057741,0
2005-08-11,0.220000,0.220000,0.120000,0.120000,0.057741,0
2005-08-12,0.100000,0.100000,0.100000,0.100000,0.048117,0
2005-08-15,0.260000,0.260000,0.100000,0.100000,0.048117,0
2005-08-16,0.100000,0.100000,0.100000,0.100000,0.048117,0
2005-08-17,0.260000,0.260000,0.100000,0.100000,0.048117,0
2005-08-18,0.100000,0.100000,0.100000,0.100000,0.048117,0
2005-08-19,0.260000,0.260000,0.100000,0.100000,0.048117,0
2005-08-22,0.260000,0.260000,0.080000,0.080000,0.038494,0
2005-08-23,0.100000,0.100000,0.100000,0.100000,0.048117,2500
2005-08-24,0.220000,0.220000,0.100000,0.100000,0.048117,0
2005-08-25,0.220000,0.220000,0.080000,0.080000,0.038494,0
2005-08-26,0.080000,0.080000,0.080000,0.080000,0.038494,0
2005-08-29,0.080000,0.080000,0.080000,0.080000,0.038494,0
2005-08-30,0.120000,0.120000,0.080000,0.080000,0.038494,0
2005-08-31,0.120000,0.120000,0.100000,0.100000,0.048117,0
2005-09-01,0.120000,0.120000,0.100000,0.100000,0.048117,0
2005-09-02,0.120000,0.120000,0.080000,0.080000,0.038494,0
2005-09-05,0.120000,0.120000,0.080000,0.080000,0.038494,0
2005-09-06,0.080000,0.080000,0.080000,0.080000,0.038494,750
2005-09-07,0.080000,0.080000,0.080000,0.080000,0.038494,7500
2005-09-08,0.080000,0.080000,0.080000,0.080000,0.038494,0
2005-09-09,0.300000,0.300000,0.080000,0.080000,0.038494,0
2005-09-12,0.180000,0.180000,0.080000,0.080000,0.038494,0
2005-09-13,0.080000,0.080000,0.080000,0.080000,0.038494,7000
2005-09-14,0.080000,0.080000,0.080000,0.080000,0.038494,0
2005-09-15,0.080000,0.080000,0.080000,0.080000,0.038494,0
2005-09-16,0.120000,0.120000,0.120000,0.120000,0.057741,3750
2005-09-19,0.080000,0.080000,0.080000,0.080000,0.038494,0
2005-09-20,0.080000,0.080000,0.080000,0.080000,0.038494,9000
2005-09-21,0.100000,0.100000,0.100000,0.100000,0.048117,0
2005-09-22,0.240000,0.240000,0.100000,0.100000,0.048117,0
2005-09-23,0.300000,0.300000,0.120000,0.120000,0.057741,0
2005-09-26,0.120000,0.160000,0.120000,0.160000,0.076988,23750
2005-09-27,0.200000,0.200000,0.140000,0.140000,0.067364,0
2005-09-28,0.200000,0.200000,0.140000,0.140000,0.067364,0
2005-09-29,0.220000,0.220000,0.100000,0.100000,0.048117,0
2005-09-30,0.160000,0.160000,0.100000,0.100000,0.048117,0
2005-10-03,0.100000,0.100000,0.100000,0.100000,0.048117,0
2005-10-04,0.220000,0.220000,0.120000,0.120000,0.057741,0
2005-10-05,0.120000,0.140000,0.120000,0.140000,0.067364,2
2005-10-06,0.140000,0.140000,0.140000,0.140000,0.067364,9
2005-10-07,0.260000,0.260000,0.120000,0.120000,0.057741,0
2005-10-10,0.120000,0.120000,0.120000,0.120000,0.057741,2
2005-10-11,0.200000,0.200000,0.120000,0.120000,0.057741,0
2005-10-12,0.120000,0.120000,0.120000,0.120000,0.057741,2
2005-10-13,0.200000,0.200000,0.200000,0.200000,0.096235,6
2005-10-14,0.240000,0.240000,0.120000,0.120000,0.057741,0
2005-10-17,0.240000,0.240000,0.120000,0.120000,0.057741,0
2005-10-18,0.200000,0.200000,0.140000,0.140000,0.067364,0
2005-10-19,0.140000,0.140000,0.140000,0.140000,0.067364,1
2005-10-20,0.220000,0.220000,0.140000,0.140000,0.067364,0
2005-10-21,0.220000,0.220000,0.140000,0.140000,0.067364,0
2005-10-24,0.200000,0.200000,0.120000,0.120000,0.057741,0
2005-10-25,0.120000,0.140000,0.120000,0.140000,0.067364,0
2005-10-26,0.220000,0.220000,0.120000,0.120000,0.057741,0
2005-10-27,0.220000,0.220000,0.120000,0.120000,0.057741,0
2005-10-28,0.200000,0.200000,0.120000,0.120000,0.057741,0
2005-10-31,0.120000,0.120000,0.120000,0.120000,0.057741,2250
2005-11-02,0.160000,0.160000,0.160000,0.160000,0.076988,12
2005-11-04,0.120000,0.120000,0.120000,0.120000,0.057741,2
2005-11-07,0.120000,0.120000,0.120000,0.120000,0.057741,2
2005-11-08,0.200000,0.200000,0.100000,0.100000,0.048117,0
2005-11-09,0.160000,0.160000,0.120000,0.120000,0.057741,0
2005-11-10,0.140000,0.140000,0.120000,0.120000,0.057741,0
2005-11-11,0.140000,0.140000,0.140000,0.140000,0.067364,1
2005-11-14,0.120000,0.120000,0.120000,0.120000,0.057741,7
2005-11-15,0.160000,0.160000,0.100000,0.100000,0.048117,0
2005-11-16,0.160000,0.160000,0.120000,0.120000,0.057741,0
2005-11-17,0.160000,0.160000,0.120000,0.120000,0.057741,0
2005-11-18,0.200000,0.200000,0.120000,0.120000,0.057741,0
2005-11-21,0.160000,0.160000,0.160000,0.160000,0.076988,6
2005-11-22,0.160000,0.160000,0.100000,0.100000,0.048117,0
2005-11-23,0.160000,0.160000,0.100000,0.100000,0.048117,0
2005-11-24,0.160000,0.160000,0.100000,0.100000,0.048117,0
2005-11-25,0.160000,0.160000,0.100000,0.100000,0.048117,0
2005-11-28,0.200000,0.200000,0.100000,0.100000,0.048117,0
2005-11-29,0.200000,0.200000,0.100000,0.100000,0.048117,0
2005-11-30,0.200000,0.200000,0.100000,0.100000,0.048117,0
2005-12-01,0.200000,0.200000,0.100000,0.100000,0.048117,0
2005-12-02,0.200000,0.200000,0.120000,0.120000,0.057741,0
2005-12-05,0.200000,0.200000,0.100000,0.100000,0.048117,0
2005-12-06,0.200000,0.200000,0.100000,0.100000,0.048117,0
2005-12-07,0.200000,0.200000,0.100000,0.100000,0.048117,0
2005-12-08,0.180000,0.180000,0.100000,0.100000,0.048117,0
2005-12-09,0.180000,0.180000,0.100000,0.100000,0.048117,0
2005-12-12,0.140000,0.140000,0.100000,0.100000,0.048117,0
2005-12-13,0.140000,0.140000,0.140000,0.140000,0.067364,1
2005-12-14,0.160000,0.160000,0.100000,0.100000,0.048117,0
2005-12-15,0.160000,0.160000,0.100000,0.100000,0.048117,0
2005-12-16,0.160000,0.160000,0.100000,0.100000,0.048117,0
2005-12-19,0.180000,0.180000,0.100000,0.100000,0.048117,0
2005-12-20,0.160000,0.160000,0.120000,0.120000,0.057741,0
2005-12-21,0.180000,0.180000,0.160000,0.160000,0.076988,6
2005-12-22,0.180000,0.180000,0.120000,0.120000,0.057741,0
2005-12-23,0.160000,0.160000,0.120000,0.120000,0.057741,0
2005-12-27,0.180000,0.180000,0.120000,0.120000,0.057741,0
2005-12-28,0.160000,0.160000,0.120000,0.120000,0.057741,0
2005-12-29,0.160000,0.160000,0.120000,0.120000,0.057741,0
2005-12-30,0.180000,0.200000,0.160000,0.200000,0.096235,49
2006-01-03,0.240000,0.240000,0.120000,0.120000,0.057741,0
2006-01-04,0.120000,0.120000,0.120000,0.120000,0.057741,0
2006-01-05,0.140000,0.140000,0.140000,0.140000,0.067364,3
2006-01-06,0.180000,0.200000,0.180000,0.200000,0.096235,3
2006-01-09,0.320000,0.320000,0.140000,0.140000,0.067364,0
2006-01-10,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-01-11,0.320000,0.320000,0.140000,0.140000,0.067364,0
2006-01-12,0.320000,0.320000,0.140000,0.140000,0.067364,0
2006-01-13,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-01-16,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-01-17,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-01-18,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-01-19,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-01-20,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-01-23,0.320000,0.320000,0.120000,0.120000,0.057741,0
2006-01-24,0.320000,0.320000,0.120000,0.120000,0.057741,0
2006-01-25,0.120000,0.120000,0.120000,0.120000,0.057741,1
2006-01-26,0.120000,0.120000,0.120000,0.120000,0.057741,0
2006-01-27,0.220000,0.220000,0.120000,0.120000,0.057741,0
2006-01-30,0.120000,0.120000,0.120000,0.120000,0.057741,0
2006-01-31,0.120000,0.120000,0.120000,0.120000,0.057741,0
2006-02-01,0.140000,0.140000,0.140000,0.140000,0.067364,5
2006-02-02,0.120000,0.120000,0.120000,0.120000,0.057741,7
2006-02-03,0.200000,0.200000,0.200000,0.200000,0.096235,12
2006-02-06,0.200000,0.200000,0.120000,0.120000,0.057741,8000
2006-02-07,0.440000,0.440000,0.140000,0.140000,0.067364,0
2006-02-08,0.240000,0.240000,0.140000,0.140000,0.067364,0
2006-02-09,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-02-10,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-02-13,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-02-14,0.260000,0.260000,0.140000,0.140000,0.067364,0
2006-02-15,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-02-16,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-02-17,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-02-20,0.160000,0.160000,0.160000,0.160000,0.076988,2
2006-02-21,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-02-22,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-02-23,0.120000,0.120000,0.120000,0.120000,0.057741,0
2006-02-24,0.220000,0.220000,0.120000,0.120000,0.057741,0
2006-02-27,0.120000,0.120000,0.120000,0.120000,0.057741,1
2006-02-28,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-03-01,0.260000,0.260000,0.140000,0.140000,0.067364,0
2006-03-02,0.200000,0.200000,0.160000,0.160000,0.076988,0
2006-03-03,0.140000,0.140000,0.120000,0.120000,0.057741,5
2006-03-06,0.220000,0.220000,0.200000,0.200000,0.096235,267
2006-03-07,0.200000,0.200000,0.200000,0.200000,0.096235,2
2006-03-08,0.160000,0.160000,0.140000,0.140000,0.067364,0
2006-03-09,0.200000,0.220000,0.200000,0.220000,0.105858,18
2006-03-10,0.160000,0.160000,0.140000,0.140000,0.067364,0
2006-03-13,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-03-14,0.260000,0.260000,0.140000,0.140000,0.067364,0
2006-03-15,0.240000,0.240000,0.140000,0.140000,0.067364,0
2006-03-16,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-03-17,0.240000,0.240000,0.140000,0.140000,0.067364,0
2006-03-20,0.240000,0.240000,0.140000,0.140000,0.067364,0
2006-03-21,0.160000,0.160000,0.160000,0.160000,0.076988,2
2006-03-22,0.140000,0.140000,0.140000,0.140000,0.067364,2
2006-03-23,0.140000,0.160000,0.140000,0.160000,0.076988,2
2006-03-24,0.160000,0.160000,0.160000,0.160000,0.076988,7
2006-03-27,0.240000,0.240000,0.140000,0.140000,0.067364,0
2006-03-28,0.180000,0.180000,0.180000,0.180000,0.086611,10
2006-03-29,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-03-30,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-03-31,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-04-03,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-04-04,0.160000,0.160000,0.140000,0.140000,0.067364,51
2006-04-05,0.140000,0.140000,0.140000,0.140000,0.067364,5
2006-04-06,0.180000,0.180000,0.160000,0.160000,0.076988,0
2006-04-07,0.180000,0.180000,0.140000,0.140000,0.067364,0
2006-04-10,0.160000,0.160000,0.160000,0.160000,0.076988,5
2006-04-11,0.160000,0.180000,0.160000,0.180000,0.086611,7
2006-04-12,0.160000,0.160000,0.160000,0.160000,0.076988,5
2006-04-13,0.160000,0.160000,0.140000,0.140000,0.067364,0
2006-04-14,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-04-17,0.180000,0.180000,0.140000,0.140000,0.067364,0
2006-04-18,0.140000,0.140000,0.140000,0.140000,0.067364,1
2006-04-19,0.180000,0.180000,0.180000,0.180000,0.086611,11
2006-04-20,0.200000,0.200000,0.200000,0.200000,0.096235,54
2006-04-21,0.180000,0.180000,0.180000,0.180000,0.086611,0
2006-04-24,0.160000,0.160000,0.160000,0.160000,0.076988,0
2006-04-25,0.220000,0.220000,0.160000,0.160000,0.076988,0
2006-04-26,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-04-27,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-04-28,0.140000,0.160000,0.140000,0.160000,0.076988,0
2006-05-01,0.160000,0.160000,0.160000,0.160000,0.076988,0
2006-05-02,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-05-03,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-05-04,0.220000,0.220000,0.160000,0.160000,0.076988,0
2006-05-05,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-05-08,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-05-09,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-05-10,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-05-11,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-05-12,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-05-15,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-05-16,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-05-17,0.220000,0.220000,0.120000,0.120000,0.057741,0
2006-05-18,0.220000,0.220000,0.120000,0.120000,0.057741,0
2006-05-19,0.220000,0.220000,0.120000,0.120000,0.057741,0
2006-05-22,0.220000,0.220000,0.120000,0.120000,0.057741,0
2006-05-23,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-05-24,0.220000,0.220000,0.120000,0.120000,0.057741,0
2006-05-25,0.120000,0.120000,0.120000,0.120000,0.057741,1
2006-05-26,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-05-29,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-05-30,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-05-31,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-06-01,0.120000,0.120000,0.120000,0.120000,0.057741,12
2006-06-02,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-06-05,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-06-06,0.160000,0.160000,0.160000,0.160000,0.076988,7
2006-06-07,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-06-08,0.100000,0.140000,0.100000,0.140000,0.067364,14750
2006-06-09,0.140000,0.140000,0.140000,0.140000,0.067364,9
2006-06-12,0.120000,0.140000,0.120000,0.140000,0.067364,26
2006-06-13,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-06-14,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-06-15,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-06-16,0.160000,0.160000,0.160000,0.160000,0.076988,12
2006-06-19,0.180000,0.180000,0.100000,0.100000,0.048117,0
2006-06-20,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-06-21,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-06-22,0.180000,0.180000,0.180000,0.180000,0.086611,5
2006-06-23,0.200000,0.200000,0.200000,0.200000,0.096235,7
2006-06-26,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-06-27,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-06-28,0.160000,0.160000,0.160000,0.160000,0.076988,2
2006-06-29,0.120000,0.120000,0.120000,0.120000,0.057741,2
2006-06-30,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-07-03,0.120000,0.120000,0.120000,0.120000,0.057741,0
2006-07-04,0.120000,0.120000,0.120000,0.120000,0.057741,5
2006-07-05,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-07-06,0.160000,0.180000,0.160000,0.180000,0.086611,10
2006-07-07,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-07-10,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-07-11,0.240000,0.240000,0.120000,0.120000,0.057741,0
2006-07-12,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-07-13,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-07-14,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-07-17,0.300000,0.300000,0.160000,0.160000,0.076988,0
2006-07-18,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-07-19,0.120000,0.120000,0.120000,0.120000,0.057741,0
2006-07-20,0.120000,0.180000,0.120000,0.180000,0.086611,7500
2006-07-21,0.180000,0.180000,0.180000,0.180000,0.086611,6
2006-07-24,0.180000,0.180000,0.180000,0.180000,0.086611,15
2006-07-25,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-07-26,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-07-27,0.160000,0.160000,0.160000,0.160000,0.076988,15000
2006-07-28,0.160000,0.160000,0.160000,0.160000,0.076988,6
2006-07-31,0.160000,0.160000,0.160000,0.160000,0.076988,7
2006-08-01,0.120000,0.120000,0.120000,0.120000,0.057741,0
2006-08-02,0.160000,0.160000,0.160000,0.160000,0.076988,8
2006-08-03,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-08-04,0.180000,0.180000,0.180000,0.180000,0.086611,0
2006-08-07,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-08-08,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-08-09,0.120000,0.120000,0.120000,0.120000,0.057741,0
2006-08-10,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-08-11,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-08-14,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-08-15,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-08-16,0.160000,0.200000,0.160000,0.200000,0.096235,4500
2006-08-17,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-08-18,0.180000,0.180000,0.180000,0.180000,0.086611,7
2006-08-21,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-08-22,0.220000,0.220000,0.120000,0.120000,0.057741,0
2006-08-23,0.200000,0.200000,0.120000,0.120000,0.057741,0
2006-08-24,0.120000,0.120000,0.120000,0.120000,0.057741,2
2006-08-25,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-08-28,0.120000,0.160000,0.120000,0.160000,0.076988,12750
2006-08-29,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-08-30,0.160000,0.160000,0.160000,0.160000,0.076988,24
2006-08-31,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-09-01,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-09-04,0.120000,0.120000,0.120000,0.120000,0.057741,1
2006-09-05,0.160000,0.160000,0.160000,0.160000,0.076988,7
2006-09-06,0.180000,0.180000,0.140000,0.140000,0.067364,0
2006-09-07,0.180000,0.180000,0.140000,0.140000,0.067364,0
2006-09-08,0.140000,0.180000,0.140000,0.180000,0.086611,21500
2006-09-11,0.140000,0.140000,0.140000,0.140000,0.067364,2
2006-09-12,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-09-13,0.180000,0.180000,0.140000,0.140000,0.067364,0
2006-09-14,0.160000,0.160000,0.140000,0.140000,0.067364,0
2006-09-15,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-09-18,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-09-19,0.160000,0.160000,0.120000,0.120000,0.057741,0
2006-09-20,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-09-21,0.140000,0.180000,0.140000,0.180000,0.086611,500
2006-09-22,0.180000,0.180000,0.140000,0.140000,0.067364,0
2006-09-25,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-09-26,0.160000,0.160000,0.160000,0.160000,0.076988,7
2006-09-27,0.280000,0.280000,0.140000,0.140000,0.067364,0
2006-09-28,0.140000,0.140000,0.140000,0.140000,0.067364,17
2006-09-29,0.140000,0.140000,0.140000,0.140000,0.067364,1
2006-10-02,0.180000,0.180000,0.120000,0.120000,0.057741,0
2006-10-03,0.180000,0.180000,0.140000,0.140000,0.067364,0
2006-10-04,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-10-05,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-10-06,0.260000,0.260000,0.140000,0.140000,0.067364,0
2006-10-09,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-10-10,0.140000,0.140000,0.140000,0.140000,0.067364,0
2006-10-11,0.140000,0.140000,0.140000,0.140000,0.067364,1
2006-10-12,0.260000,0.260000,0.260000,0.260000,0.125105,1
2006-10-13,0.220000,0.220000,0.160000,0.160000,0.076988,0
2006-10-16,0.340000,0.340000,0.160000,0.160000,0.076988,6250
2006-10-17,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-10-18,0.200000,0.200000,0.140000,0.140000,0.067364,0
2006-10-19,0.220000,0.220000,0.140000,0.140000,0.067364,0
2006-10-20,0.160000,0.160000,0.160000,0.160000,0.076988,2
2006-10-23,0.200000,0.200000,0.200000,0.200000,0.096235,20000
2006-10-24,0.200000,0.200000,0.200000,0.200000,0.096235,0
2006-10-25,0.220000,0.220000,0.160000,0.160000,0.076988,0
2006-10-26,0.160000,0.160000,0.160000,0.160000,0.076988,3
2006-10-27,0.180000,0.180000,0.180000,0.180000,0.086611,16
2006-10-30,0.200000,0.200000,0.200000,0.200000,0.096235,17
2006-10-31,0.200000,0.200000,0.200000,0.200000,0.096235,2
2006-11-01,0.200000,0.200000,0.180000,0.180000,0.086611,0
2006-11-02,0.220000,0.240000,0.200000,0.240000,0.115482,113
2006-11-03,0.240000,0.340000,0.240000,0.300000,0.144352,48750
2006-11-06,0.260000,0.260000,0.260000,0.260000,0.125105,1
2006-11-07,0.300000,0.320000,0.240000,0.280000,0.134729,1
2006-11-08,0.280000,0.280000,0.280000,0.280000,0.134729,5
2006-11-09,0.280000,0.280000,0.280000,0.280000,0.134729,25
2006-11-10,0.280000,0.280000,0.220000,0.220000,0.105858,0
2006-11-13,0.240000,0.260000,0.240000,0.260000,0.125105,30
2006-11-14,0.240000,0.240000,0.200000,0.200000,0.096235,0
2006-11-15,0.220000,0.220000,0.220000,0.220000,0.105858,1
2006-11-16,0.260000,0.260000,0.200000,0.200000,0.096235,0
2006-11-17,0.240000,0.260000,0.220000,0.260000,0.125105,22
2006-11-20,0.200000,0.200000,0.200000,0.200000,0.096235,0
2006-11-21,0.180000,0.180000,0.180000,0.180000,0.086611,6
2006-11-22,0.220000,0.260000,0.220000,0.260000,0.125105,15
2006-11-23,0.220000,0.220000,0.220000,0.220000,0.105858,0
2006-11-24,0.320000,0.320000,0.200000,0.200000,0.096235,0
2006-11-27,0.380000,0.380000,0.200000,0.200000,0.096235,2750
2006-11-28,0.220000,0.400000,0.200000,0.400000,0.192470,17500
2006-11-29,0.340000,0.340000,0.200000,0.200000,0.096235,0
2006-11-30,0.300000,0.300000,0.220000,0.220000,0.105858,0
2006-12-01,0.200000,0.220000,0.200000,0.220000,0.105858,2
2006-12-04,0.220000,0.220000,0.220000,0.220000,0.105858,5
2006-12-05,0.220000,0.240000,0.220000,0.240000,0.115482,10
2006-12-06,0.280000,0.280000,0.240000,0.240000,0.115482,0
2006-12-07,0.360000,0.360000,0.220000,0.300000,0.144352,7750
2006-12-08,0.300000,0.300000,0.220000,0.220000,0.105858,0
2006-12-11,0.240000,0.280000,0.240000,0.280000,0.134729,0
2006-12-12,0.220000,0.220000,0.220000,0.220000,0.105858,0
